seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
151,seasonal-shift,2012-06-06,2760000,base-stale,3,1778239.916209,1778780.16508,540.248871,0.000304,0.932653,0.077108,0.002037,491,1780039.921804,-1259.756724,3.331808,1.000708,0.0284
151,seasonal-shift,2012-06-06,2760000,stronger-but-stale,3,1755069.162761,1778780.16508,23711.002319,0.01333,0.822449,0.166265,0.0,478,,,,,
151,seasonal-shift,2012-06-06,2760000,weaker-but-fresh,0,1771371.180029,1778780.16508,7408.985051,0.004165,0.706122,0.291566,0.0,469,,,,,
151,seasonal-shift,2012-06-06,5480000,base-stale,3,3354876.329438,3352944.633565,-1931.695873,-0.000576,0.92397,0.077485,0.00105,952,3353507.102312,-562.468747,-0.708821,1.000168,0.0284
151,seasonal-shift,2012-06-06,5480000,stronger-but-stale,3,3336700.740554,3352944.633565,16243.893011,0.004845,0.833157,0.147661,0.0,956,,,,,
151,seasonal-shift,2012-06-06,5480000,weaker-but-fresh,0,3343330.346023,3352944.633565,9614.287542,0.002867,0.745512,0.233918,0.0,928,,,,,
151,seasonal-shift,2012-06-06,7550000,base-stale,3,4530364.224341,4538063.556612,7699.332271,0.001697,0.919479,0.091232,0.00076,1316,4537348.020496,715.536116,0.907065,0.999842,0.0284
151,seasonal-shift,2012-06-06,7550000,stronger-but-stale,3,4514989.454311,4538063.556612,23074.102301,0.005085,0.833589,0.156398,0.0,1322,,,,,
151,seasonal-shift,2012-06-06,7550000,weaker-but-fresh,0,4522855.557829,4538063.556612,15207.998783,0.003351,0.788344,0.196682,0.0,1283,,,,,
151,seasonal-shift,2012-06-06,2760000,base-stale,7,1773210.669231,1778780.16508,5569.495849,0.003131,0.922449,0.077108,0.006061,495,1775705.927985,3074.237095,0.448022,0.998272,0.0354
151,seasonal-shift,2012-06-06,5480000,base-stale,7,3353348.929704,3352944.633565,-404.296139,-0.000121,0.907075,0.087719,0.003148,953,3354261.161763,-1316.528198,2.256346,1.000393,0.0354
151,seasonal-shift,2012-06-06,7550000,base-stale,7,4522977.745067,4538063.556612,15085.811545,0.003324,0.904141,0.10782,0.002274,1319,4532750.298106,5313.258506,0.647798,0.998829,0.0354
151,seasonal-shift,2012-06-06,2760000,full-refresh,0,1778780.16508,1778780.16508,0.0,0.0,1.0,0.0,0.0,490,1778780.16508,0.0,1.0,1.0,1.0
