scenario_family,budget,policy_kind,latency_days,block_count,policy_value_mean,policy_value_ci_low,policy_value_ci_high,stale_regret_mean,stale_regret_ci_low,stale_regret_ci_high,relative_loss_mean,relative_loss_ci_low,relative_loss_ci_high,target_overlap_mean,target_overlap_ci_low,target_overlap_ci_high,missed_at_risk_mean,missed_at_risk_ci_low,missed_at_risk_ci_high,window_miss_rate_mean,window_miss_rate_ci_low,window_miss_rate_ci_high,selected_customers_mean,selected_customers_ci_low,selected_customers_ci_high,partial_reopt_optimization_call_ratio_mean,partial_reopt_optimization_call_ratio_ci_low,partial_reopt_optimization_call_ratio_ci_high,partial_reopt_regret_recovery_ratio_mean,partial_reopt_regret_recovery_ratio_ci_low,partial_reopt_regret_recovery_ratio_ci_high,partial_reopt_full_refresh_value_ratio_mean,partial_reopt_full_refresh_value_ratio_ci_low,partial_reopt_full_refresh_value_ratio_ci_high
promotion-heavy,5480000,base-stale,7,16,3588318.578172,3524720.028518,3638173.111037,43505.920819,36322.64819,50855.036886,0.0119,0.010157,0.013568,0.898403,0.894694,0.902415,0.095629,0.089659,0.101288,0.000896,0.00042,0.00147,1023.625,994.034375,1043.970313,0.033444,0.032684,0.0343,0.570106,0.460195,0.68167,0.995168,0.99419,0.996355
promotion-heavy,5480000,full-refresh,0,16,3631824.498992,3569656.561438,3686939.270012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.375,1008.5625,1060.354687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
promotion-heavy,5480000,stronger-but-stale,3,16,3573734.272275,3512192.42971,3616857.538474,58090.226717,49523.219416,66726.687722,0.015916,0.013454,0.018386,0.813678,0.806273,0.81965,0.164455,0.157623,0.172432,0.000453,0.000123,0.000857,1015.375,989.767187,1036.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,5480000,weaker-but-fresh,0,16,3576989.55085,3538440.685443,3614359.357711,54834.948142,26020.535413,76931.470406,0.014634,0.005678,0.020682,0.656725,0.642159,0.673944,0.371429,0.346575,0.391283,0.0,0.0,0.0,923.25,913.375,933.720312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,7550000,base-stale,0,16,4833768.981454,4772949.727426,4896968.076952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.4375,1362.8,1430.134375,5.6e-05,2.5e-05,9.4e-05,0.0,0.0,0.0,1.0,1.0,1.0
promotion-heavy,7550000,base-stale,1,16,4797283.29787,4724522.72074,4850924.843784,36485.683583,29937.728679,42911.977398,0.007498,0.006095,0.008828,0.920655,0.917206,0.924354,0.079635,0.074408,0.083681,4.4e-05,0.0,0.000133,1389.625,1359.135937,1414.289062,0.028731,0.027712,0.029835,0.69044,0.557055,0.804852,0.997714,0.996543,0.998654
promotion-heavy,7550000,base-stale,3,16,4794589.595681,4734006.447624,4846913.365794,39179.385772,32661.920226,44926.791807,0.008065,0.006764,0.009279,0.912937,0.909601,0.916696,0.085487,0.080282,0.090373,0.000186,4.3e-05,0.000338,1389.3125,1349.042187,1413.039062,0.030756,0.030062,0.031357,0.695511,0.589051,0.80083,0.997543,0.996493,0.998404
promotion-heavy,7550000,base-stale,7,16,4792756.116038,4719095.207172,4847434.185091,41012.865416,35387.609745,46107.257411,0.008457,0.007415,0.009643,0.899801,0.896257,0.904351,0.097548,0.091568,0.101639,0.000652,0.000327,0.001052,1389.1875,1345.998437,1413.664062,0.033444,0.032706,0.034142,0.629146,0.544753,0.711273,0.996946,0.996122,0.997744
promotion-heavy,7550000,full-refresh,0,16,4833768.981454,4760716.64058,4888915.095974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.4375,1364.123437,1429.470313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
promotion-heavy,7550000,stronger-but-stale,3,16,4778160.472706,4699009.235303,4829538.265685,55608.508748,49640.753068,62045.428223,0.011482,0.010348,0.012742,0.835809,0.832446,0.838761,0.146554,0.143153,0.150144,0.000333,0.000133,0.000597,1382.6875,1345.4,1407.285938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
