seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_relative_loss,partial_reopt_target_overlap,partial_reopt_missed_at_risk,partial_reopt_window_miss_rate,partial_reopt_selected_customers,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio,partial_reopt_target_overlap_recovery,partial_reopt_missed_at_risk_recovery,partial_reopt_window_miss_rate_recovery,random_refresh_policy_value,random_refresh_stale_regret,random_refresh_relative_loss,random_refresh_target_overlap,random_refresh_missed_at_risk,random_refresh_window_miss_rate,random_refresh_selected_customers,random_refresh_full_refresh_value_ratio,random_refresh_optimization_call_ratio,random_refresh_target_overlap_recovery,random_refresh_missed_at_risk_recovery,random_refresh_window_miss_rate_recovery,top_risk_refresh_policy_value,top_risk_refresh_stale_regret,top_risk_refresh_relative_loss,top_risk_refresh_target_overlap,top_risk_refresh_missed_at_risk,top_risk_refresh_window_miss_rate,top_risk_refresh_selected_customers,top_risk_refresh_full_refresh_value_ratio,top_risk_refresh_optimization_call_ratio,top_risk_refresh_target_overlap_recovery,top_risk_refresh_missed_at_risk_recovery,top_risk_refresh_window_miss_rate_recovery,top_value_refresh_policy_value,top_value_refresh_stale_regret,top_value_refresh_relative_loss,top_value_refresh_target_overlap,top_value_refresh_missed_at_risk,top_value_refresh_window_miss_rate,top_value_refresh_selected_customers,top_value_refresh_full_refresh_value_ratio,top_value_refresh_optimization_call_ratio,top_value_refresh_target_overlap_recovery,top_value_refresh_missed_at_risk_recovery,top_value_refresh_window_miss_rate_recovery
151,complaint-heavy,2025-03-26,7550000,full-refresh,0,84371999.154899,84371999.154899,0.0,0.0,1.0,0.0,0.0,1066,84371999.154899,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0
151,promotion-heavy,2025-03-26,2760000,base-stale,0,63238871.323808,63238871.323808,0.0,0.0,1.0,0.0,0.0,341,63238871.323808,0.0,0.0,1.0,0.0,0.0,341.0,0.0,1.0,0.028224,0.0,0.0,0.0,63238871.323808,0.0,0.0,1.0,0.0,0.0,341.0,1.0,0.028224,0.0,0.0,0.0,63238871.323808,0.0,0.0,1.0,0.0,0.0,341.0,1.0,0.028224,0.0,0.0,0.0,63238871.323808,0.0,0.0,1.0,0.0,0.0,341.0,1.0,0.028224,0.0,0.0,0.0
151,promotion-heavy,2025-03-26,5480000,base-stale,0,102267479.751702,102267479.751702,0.0,0.0,1.0,0.0,0.0,675,102267479.751702,0.0,0.0,1.0,0.0,0.0,675.0,0.0,1.0,0.028224,0.0,0.0,0.0,102267479.751702,0.0,0.0,1.0,0.0,0.0,675.0,1.0,0.028224,0.0,0.0,0.0,102267479.751702,0.0,0.0,1.0,0.0,0.0,675.0,1.0,0.028224,0.0,0.0,0.0,102267479.751702,0.0,0.0,1.0,0.0,0.0,675.0,1.0,0.028224,0.0,0.0,0.0
151,promotion-heavy,2025-03-26,7550000,base-stale,0,119254624.144898,119254624.144898,0.0,0.0,1.0,0.0,0.0,984,119254624.144898,0.0,0.0,1.0,0.0,0.0,984.0,0.0,1.0,0.028224,0.0,0.0,0.0,119254624.144898,0.0,0.0,1.0,0.0,0.0,984.0,1.0,0.028224,0.0,0.0,0.0,119254624.144898,0.0,0.0,1.0,0.0,0.0,984.0,1.0,0.028224,0.0,0.0,0.0,119254624.144898,0.0,0.0,1.0,0.0,0.0,984.0,1.0,0.028224,0.0,0.0,0.0
151,promotion-heavy,2025-03-26,2760000,base-stale,1,65333718.891419,63238871.323808,-2094847.567611,-0.033126,0.8739,0.167382,0.0,319,64132895.559594,-894024.235786,-0.014137,0.935484,0.072961,0.0,334.0,-0.573227,1.014137,0.084238,0.488374,0.564105,0.0,65614022.308506,-2375150.984698,-0.037558,0.888563,0.150215,0.0,326.0,1.037558,0.084238,0.116281,0.102562,0.0,63028869.160342,210002.163466,0.003321,0.964809,0.017167,0.0,342.0,0.996679,0.084238,0.720928,0.897438,0.0,66670331.856731,-3431460.532923,-0.054262,0.888563,0.16309,0.0,325.0,1.054262,0.084238,0.116281,0.025642,0.0
151,promotion-heavy,2025-03-26,5480000,base-stale,1,104211068.522488,102267479.751702,-1943588.770786,-0.019005,0.865185,0.214464,0.0,648,101869285.800064,398193.951638,0.003894,0.925926,0.094763,0.0,676.0,-1.204876,0.996106,0.084238,0.450551,0.55814,0.0,103734247.114478,-1466767.362776,-0.014342,0.865185,0.21197,0.0,637.0,1.014342,0.084238,0.0,0.011629,0.0,104380999.234172,-2113519.48247,-0.020667,0.884444,0.182045,0.0,643.0,1.020667,0.084238,0.142855,0.151163,0.0,104614613.808961,-2347134.057259,-0.022951,0.871111,0.214464,0.0,653.0,1.022951,0.084238,0.043957,0.0,0.0
151,promotion-heavy,2025-03-26,7550000,base-stale,1,120759034.74303,119254624.144898,-1504410.598132,-0.012615,0.839431,0.255137,0.0,945,119451387.091919,-196762.947021,-0.00165,0.889228,0.157534,0.0,970.0,-0.869209,1.00165,0.084238,0.310128,0.382551,0.0,120794818.906468,-1540194.76157,-0.012915,0.851626,0.234589,0.0,947.0,1.012915,0.084238,0.075949,0.080537,0.0,120729404.754685,-1474780.609787,-0.012367,0.854675,0.229452,0.0,946.0,1.012367,0.084238,0.094937,0.100671,0.0,120688842.012199,-1434217.867301,-0.012027,0.857724,0.229452,0.0,980.0,1.012027,0.084238,0.113926,0.100671,0.0
151,promotion-heavy,2025-03-26,2760000,base-stale,3,65266297.275987,63238871.323808,-2027425.952179,-0.03206,0.8739,0.167382,0.0,319,63824563.239227,-585691.915419,-0.009262,0.941349,0.060086,0.0,340.0,-0.711116,1.009262,0.082284,0.534885,0.641025,0.0,65167410.86609,-1928539.542282,-0.030496,0.888563,0.150215,0.0,324.0,1.030496,0.082284,0.116281,0.102562,0.0,63206484.99284,32386.330968,0.000512,0.964809,0.021459,0.0,342.0,0.999488,0.082284,0.720928,0.871796,0.0,66236137.362012,-2997266.038204,-0.047396,0.891496,0.158798,0.0,325.0,1.047396,0.082284,0.13954,0.051284,0.0
151,promotion-heavy,2025-03-26,2760000,stronger-but-stale,3,63027681.663816,63238871.323808,211189.659992,0.00334,0.870968,0.141631,0.01497,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,promotion-heavy,2025-03-26,2760000,weaker-but-fresh,0,34783456.275161,63238871.323808,28455415.048647,0.449967,0.762463,0.021459,0.0,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
